start_time,end_time,usage,source
2022-09-29T16:30:00Z,2022-09-29T16:45:00Z,0.4625,projected
2022-09-29T16:45:00Z,2022-09-29T17:00:00Z,0.3595,projected
2022-09-29T17:00:00Z,2022-09-29T17:15:00Z,0.354,projected
2022-09-29T17:15:00Z,2022-09-29T17:30:00Z,0.3655,projected
2022-09-29T17:30:00Z,2022-09-29T17:45:00Z,0.147,projected
2022-09-29T17:45:00Z,2022-09-29T18:00:00Z,0.059,projected
2022-09-29T18:00:00Z,2022-09-29T18:15:00Z,0.059,projected
2022-09-29T18:15:00Z,2022-09-29T18:30:00Z,0.051,projected
2022-09-29T18:30:00Z,2022-09-29T18:45:00Z,0.066,projected
2022-09-29T18:45:00Z,2022-09-29T19:00:00Z,0.077,projected
2022-09-29T19:00:00Z,2022-09-29T19:15:00Z,0.07,projected
2022-09-29T19:15:00Z,2022-09-29T19:30:00Z,0.0615,projected
2022-09-29T19:30:00Z,2022-09-29T19:45:00Z,0.07,projected
2022-09-29T19:45:00Z,2022-09-29T20:00:00Z,0.1735,projected
2022-09-29T20:00:00Z,2022-09-29T20:15:00Z,0.369,projected
2022-09-29T20:15:00Z,2022-09-29T20:30:00Z,0.361,projected
2022-09-29T20:30:00Z,2022-09-29T20:45:00Z,0.381,projected
2022-09-29T20:45:00Z,2022-09-29T21:00:00Z,0.379,projected
2022-09-29T21:00:00Z,2022-09-29T21:15:00Z,0.3755,projected
2022-09-29T21:15:00Z,2022-09-29T21:30:00Z,0.3735,projected
2022-09-29T21:30:00Z,2022-09-29T21:45:00Z,0.3755,projected
2022-09-29T21:45:00Z,2022-09-29T22:00:00Z,0.3615,projected
2022-09-29T22:00:00Z,2022-09-29T22:15:00Z,0.361,projected
2022-09-29T22:15:00Z,2022-09-29T22:30:00Z,0.3775,projected
2022-09-29T22:30:00Z,2022-09-29T22:45:00Z,0.38,projected
2022-09-29T22:45:00Z,2022-09-29T23:00:00Z,0.365,projected
2022-09-29T23:00:00Z,2022-09-29T23:15:00Z,0.365,projected
2022-09-29T23:15:00Z,2022-09-29T23:30:00Z,0.373,projected
2022-09-29T23:30:00Z,2022-09-29T23:45:00Z,0.381,projected
2022-09-29T23:45:00Z,2022-09-30T00:00:00Z,0.368,projected
2022-09-30T00:00:00Z,2022-09-30T00:15:00Z,0.3805,projected
2022-09-30T00:15:00Z,2022-09-30T00:30:00Z,0.397,projected
2022-09-30T00:30:00Z,2022-09-30T00:45:00Z,0.3925,projected
2022-09-30T00:45:00Z,2022-09-30T01:00:00Z,0.438,projected
2022-09-30T01:00:00Z,2022-09-30T01:15:00Z,0.6985,projected
2022-09-30T01:15:00Z,2022-09-30T01:30:00Z,0.4775,projected
2022-09-30T01:30:00Z,2022-09-30T01:45:00Z,0.0435,projected
2022-09-30T01:45:00Z,2022-09-30T02:00:00Z,0.041,projected
2022-09-30T02:00:00Z,2022-09-30T02:15:00Z,0.0405,projected
2022-09-30T02:15:00Z,2022-09-30T02:30:00Z,0.0395,projected
